name,price,link,image
Acer Aspire Go Spin 14 2 in 1 Laptop,"IDR10,199,000",https://store.acer.com/en-id/aspire-go-spin-14-nx-j3usn-001,"https://static-ecapac.acer.com/media/catalog/product/d/o/download_1__3_nx.j3usn.001.png?optimize=high&bg-color=255,255,255&fit=bounds&height=320&width=320&canvas=320:320&format=jpeg"
Acer Swift X 14 Ultrathin Laptop,"IDR27,249,000",https://store.acer.com/en-id/swift-x-sfx14-71g-nx-kevsn-003,https://static-ecapac.acer.com/media/product_labels/id-xbox-pc-game-pass-12312024.png
Acer Lite 14 Upgradeable laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-al1-114m-un-h7msd-00f,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite 14 Upgradeable laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-al1-114m-un-h7msd-009,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Slim Laptop,"IDR15,799,000",https://store.acer.com/en-id/aspire-5-slim-a515-58m-nx-kq8sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 14 Ultrathin Laptop,"IDR23,499,000",https://store.acer.com/en-id/swift-14-sf14-71t-nx-kersn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift 14 Ultrathin Laptop,"IDR23,499,000",https://store.acer.com/en-id/swift-14-sf14-71t-nx-kessn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR10,999,000",https://store.acer.com/en-id/aspire-3-slim-a314-42p-nx-ksfsn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite 14 Upgradable Laptop,"IDR6,399,000",https://store.acer.com/en-id/aspire-lite-14-nx-d3lsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 Core Series Laptop,"IDR8,039,000",https://store.acer.com/en-id/aspire-14-core-series-un-j1lsd-006,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 Core Series Laptop,"IDR15,599,000",https://store.acer.com/en-id/aspire-14-core-series-un-j1lsd-004,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite Laptop,"IDR6,149,000",https://store.acer.com/en-id/aspire-lite-al14-31p-nx-j9fsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite Laptop,"IDR5,899,000",https://store.acer.com/en-id/aspire-lite-al14-31p-nx-j9esn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 Laptop,"IDR12,599,000",https://store.acer.com/en-id/aspire-14-a14-51m-nx-kt6sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 Laptop,"IDR15,599,000",https://store.acer.com/en-id/aspire-14-a14-51m-nx-kt6sn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite Essentials Laptop,"IDR11,279,000",https://store.acer.com/en-id/acer-lite-al14-52m-nx-j39sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite 14 Upgradeable laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-al1-114m-un-h7msd-00b,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite 14 Upgradeable laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-al1-114m-un-h7msd-00h,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Spin 14 Convertible Laptop,"IDR16,149,000",https://store.acer.com/en-id/aspire-5-spin-14-a5sp14-nx-khksn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
ADD PACKING KAYU,"IDR50,000",https://store.acer.com/en-id/add-packing-kayu,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 5 Slim (12th Gen) Performance Laptop | Ex-Demo,"IDR8,999,000",https://store.acer.com/en-id/aspire-5-a514-55-grey-i5-nx-k5bsn-001-ex-demo,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR16,599,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-ksgsn-003a,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR19,999,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-ksgsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR17,249,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-kv4sn-008,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite Essentials Laptop,"IDR7,799,000",https://store.acer.com/en-id/aspire-lite-al14-51m-un-h7msd-004,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite Essentials Laptop,"IDR10,649,000",https://store.acer.com/en-id/acer-lite-al14-52m-nx-j24sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite 14 Upgradeable laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-al1-114m-un-h7msd-00d,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Go 14 Upgradable Laptop,"IDR7,499,000",https://store.acer.com/en-id/aspire-go-14-un-j1msd-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Go 14 Mainstream Laptop,"IDR7,379,000",https://store.acer.com/en-id/aspire-go-14-nx-ksksn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Go 14 essential laptop,"IDR7,499,000",https://store.acer.com/en-id/aspire-go-14-essential-nx-j0lsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite 14 Upgradable Laptop,"IDR7,599,000",https://store.acer.com/en-id/aspire-lite-14-nx-d3lsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite 14 Upgradable Laptop,"IDR6,399,000",https://store.acer.com/en-id/aspire-lite-14-nx-d3ksn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 14 Core Series Laptop,"IDR12,599,000",https://store.acer.com/en-id/aspire-14-core-series-un-j1lsd-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop | Ex-Demo,"IDR6,349,000",https://store.acer.com/en-id/aspire-3-a314-36m-nx-kdmsn-002-ex-demo,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Nitro Lite (NL16-71G) | Core i5 RTX4050,"IDR15,199,000",https://store.acer.com/en-id/nitro-lite-nl16-71g-nh-d5asn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Nitro Lite (NL16-71G) | Core i7 RTX2050,"IDR13,499,000",https://store.acer.com/en-id/nitro-lite-nl16-71g-nh-d58sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Predator Helios 300 SpatialLabs™ Edition |3D Gaming Laptop,"IDR56,999,000",https://store.acer.com/en-id/predator-helios-300-ph315-55s-core-i9-rtx3080-nh-qj1sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop,"IDR13,999,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-kv4sn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR17,799,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73-nx-ksgsn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR16,999,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73t-nx-ksmsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 AI On The Go Laptop (Intel Evo Edition),"IDR21,499,000",https://store.acer.com/en-id/swift-go-14-ai-sfg14-73t-nx-ksmsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Lite Special Edition Acer 25th Laptop,"IDR6,249,000",https://store.acer.com/en-id/aspire-lite-al14-51m-nx-ktvsn-001-ex-demo,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Spin 14 Convertible Laptop,"IDR10,199,000",https://store.acer.com/en-id/aspire-3-spin-14-a3sp14-31pt-nx-kensn-006a,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Lite 14 essential laptop,"IDR7,799,000",https://store.acer.com/en-id/acer-lite-14-essential-laptop-un-h7msd-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Spin 14 Convertible Laptop,"IDR11,499,000",https://store.acer.com/en-id/aspire-3-spin-14-a3sp14-nx-kensn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift X 14 Ultrathin Laptop,"IDR26,499,000",https://store.acer.com/en-id/swift-x-sfx14-71g-nx-kevsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Edge 16 inch OLED Ultrathin Laptop,"IDR19,999,000",https://store.acer.com/en-id/swift-edge-sfa16-41-nx-kabsn-002-16-inch-oled-amd,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Essential Laptop,"IDR4,899,000",https://store.acer.com/en-id/aspire-3-a315-35-silver-nx-a6lsn-005,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go OLED Special Edition Laptop,"IDR15,999,000",https://store.acer.com/en-id/swift-go-oled-se-sfg14-71-nx-kpzsn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go OLED Special Edition Laptop,"IDR18,399,000",https://store.acer.com/en-id/swift-go-oled-se-sfg14-71-nx-kpzsn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 (Touch) Ultrathin Laptop,"IDR15,999,000",https://store.acer.com/en-id/swift-go-14-touch-sfg14-71t-nx-kf5sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go 14 (Touch) Ultrathin Laptop,"IDR18,399,000",https://store.acer.com/en-id/swift-go-14-touch-sfg14-71t-nx-kf5sn-002,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Spin 3 Active Convertible Laptop,"IDR15,759,000",https://store.acer.com/en-id/spin-3-active-sp313-51n-nx-a9vsn-006,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Spin 5 Evo Convertible Laptop,"IDR18,999,000",https://store.acer.com/en-id/acer-spin-5-sp514-51n-gray-nx-k08sn-004,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Spin 5 Evo Convertible Laptop,"IDR20,499,000",https://store.acer.com/en-id/acer-spin-5-sp514-51n-gray-nx-k08sn-006,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Edge 16 inch OLED Ultrathin Laptop,"IDR26,499,000",https://store.acer.com/en-id/swift-edge-sfa16-41-nx-kabsn-001-16-inch-oled-amd,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Laptop,"IDR6,149,000",https://store.acer.com/en-id/aspire-3-slim-a314-35-silver-nx-a7ssn-00p,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire Spin 14 Laptop,"IDR14,399,000",https://store.acer.com/en-id/aspire-spin-14-asp14-51mtn-nx-kt3sn-001,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go Ultrathin Laptop,"IDR13,649,000",https://store.acer.com/en-id/swift-go-14-sfg14-41-nx-kg3sn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Swift Go Ultrathin Laptop,"IDR13,649,000",https://store.acer.com/en-id/acer-swift-go-sfg14-41-nx-kg5sn-003,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
Acer Aspire 3 Slim Performance Laptop,"IDR5,999,000",https://store.acer.com/en-id/aspire-3-slim-a314-35-nx-a7ssn-00n,https://static-ecapac.acer.com/static/version1747795038/frontend/Magento/base/default/Magefan_LazyLoad/images/pixel.jpg
